Year awarded	Year	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1966	1966	Simak, Clifford D.	https://en.wikipedia.org/wiki/Clifford_D._Simak	Nominated	"Over the River and Through the Woods"		Amazing Stories	https://en.wikipedia.org/wiki/Amazing_Stories
1966	1966	Wilson, Richard	https://en.wikipedia.org/wiki/Richard_Wilson_(author)	Nominated	The Eight Billion		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1966	1966	Zelazny, Roger	https://en.wikipedia.org/wiki/Roger_Zelazny	Nominated	"Devil Car"		Galaxy Science Fiction	https://en.wikipedia.org/wiki/Galaxy_Science_Fiction
1967	1967	McKenna, Richard	https://en.wikipedia.org/wiki/Richard_McKenna	Won	The Secret Place	https://en.wikipedia.org/w/index.php?title=The_Secret_Place_(short_story)&action=edit&redlink=1	Orbit 1	https://en.wikipedia.org/wiki/Orbit_(anthology_series)#Orbit_1
1967	1967	Aldiss, Brian	https://en.wikipedia.org/wiki/Brian_Aldiss	Nominated	"Man In His Time"		Who Can Replace a Man? (Harcourt, Brace & World)	https://en.wikipedia.org/wiki/Harcourt_(publisher)
1967	1967	Shaw, Bob	https://en.wikipedia.org/wiki/Bob_Shaw	Nominated	"Light of Other Days"		Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1968	1968	Delany, Samuel R.	https://en.wikipedia.org/wiki/Samuel_R._Delany	Won	"Aye, and Gomorrah…"	https://en.wikipedia.org/wiki/Aye,_and_Gomorrah	Dangerous Visions (Doubleday)	https://en.wikipedia.org/wiki/Dangerous_Visions
1968	1968	Bretnor, Reginald	https://en.wikipedia.org/wiki/Reginald_Bretnor	Nominated	"Earthwoman"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1968	1968	Delany, Samuel R.	https://en.wikipedia.org/wiki/Samuel_R._Delany	Nominated	"Driftglass"	https://en.wikipedia.org/wiki/Driftglass	If	https://en.wikipedia.org/wiki/If_(magazine)
1968	1968	Leiber, Fritz	https://en.wikipedia.org/wiki/Fritz_Leiber	Nominated	"Answering Service"		If	https://en.wikipedia.org/wiki/If_(magazine)
1968	1968	Thomas, Theodore L.	https://en.wikipedia.org/wiki/Theodore_L._Thomas	Nominated	The Doctor		Orbit 2	https://en.wikipedia.org/wiki/Orbit_(anthology_series)#Orbit_2
1968	1968	Wilhelm, Kate	https://en.wikipedia.org/wiki/Kate_Wilhelm	Nominated	"Baby, You Were Great"		Orbit 2	https://en.wikipedia.org/wiki/Orbit_(anthology_series)#Orbit_2
1969	1969	Wilhelm, Kate	https://en.wikipedia.org/wiki/Kate_Wilhelm	Won	The Planners	https://en.wikipedia.org/wiki/The_Planners	Orbit 3	https://en.wikipedia.org/wiki/Orbit_(anthology_series)#Orbit_3
1969	1969	Anderson, Poul	https://en.wikipedia.org/wiki/Poul_Anderson	Nominated	"Kyrie"		The Farthest Reaches
1969	1969	Carr, Terry	https://en.wikipedia.org/wiki/Terry_Carr	Nominated	The Dance of the Changer and the Three		The Farthest Reaches
1969	1969	Hollis, H. H.	https://en.wikipedia.org/wiki/H._H._Hollis	Nominated	"Sword Game"		Galaxy Science Fiction	https://en.wikipedia.org/wiki/Galaxy_Science_Fiction
1969	1969	Knight, Damon	https://en.wikipedia.org/wiki/Damon_Knight	Nominated	"Masks"		Playboy	https://en.wikipedia.org/wiki/Playboy
1969	1969	Taylor, Robert		Nominated	"Idiot's Mate"		Amazing Stories	https://en.wikipedia.org/wiki/Amazing_Stories
1970	1970	Silverberg, Robert	https://en.wikipedia.org/wiki/Robert_Silverberg	Won	"Passengers"	https://en.wikipedia.org/wiki/Passengers_(short_story)	Orbit 4	https://en.wikipedia.org/wiki/Orbit_(anthology_series)#Orbit_4
1970	1970	Ellison, Harlan	https://en.wikipedia.org/wiki/Harlan_Ellison	Nominated	"Shattered Like a Glass Goblin"		Orbit 4	https://en.wikipedia.org/wiki/Orbit_(anthology_series)#Orbit_4
1970	1970	Niven, Larry	https://en.wikipedia.org/wiki/Larry_Niven	Nominated	"Not Long Before the End"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1970	1970	Sturgeon, Theodore	https://en.wikipedia.org/wiki/Theodore_Sturgeon	Nominated	The Man Who Learned Loving		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1970	1970	Jr., James Tiptree,	https://en.wikipedia.org/wiki/James_Tiptree,_Jr.	Nominated	The Last Flight of Dr. Ain		Galaxy Science Fiction	https://en.wikipedia.org/wiki/Galaxy_Science_Fiction
1971	1971	Dozois, Gardner	https://en.wikipedia.org/wiki/Gardner_Dozois	Nominated	A Dream at Noonday		Orbit 7	https://en.wikipedia.org/wiki/Orbit_(anthology_series)#Orbit_7
1971	1971	Harrison, Harry	https://en.wikipedia.org/wiki/Harry_Harrison_(writer)	Nominated	"By the Falls"		If	https://en.wikipedia.org/wiki/If_(magazine)
1971	1971	Lafferty, R. A.	https://en.wikipedia.org/wiki/R._A._Lafferty	Nominated	"Entire and Perfect Chrysolite"		Orbit 6	https://en.wikipedia.org/wiki/Orbit_(anthology_series)#Orbit_6
1971	1971	Laumer, Keith	https://en.wikipedia.org/wiki/Keith_Laumer	Nominated	"In the Queue"		Orbit 7	https://en.wikipedia.org/wiki/Orbit_(anthology_series)#Orbit_7
1971	1971	Sallis, James	https://en.wikipedia.org/wiki/James_Sallis	Nominated	The Creation of Bennie Good		Orbit 6	https://en.wikipedia.org/wiki/Orbit_(anthology_series)#Orbit_6
1971	1971	Wilhelm, Kate	https://en.wikipedia.org/wiki/Kate_Wilhelm	Nominated	A Cold Dark Night with Snow		Orbit 6	https://en.wikipedia.org/wiki/Orbit_(anthology_series)#Orbit_6
1971	1971	Wolfe, Gene	https://en.wikipedia.org/wiki/Gene_Wolfe	Nominated	The Island of Doctor Death and Other Stories		Orbit 7	https://en.wikipedia.org/wiki/Orbit_(anthology_series)#Orbit_7
1972	1972	Silverberg, Robert	https://en.wikipedia.org/wiki/Robert_Silverberg	Won	"Good News from the Vatican"	https://en.wikipedia.org/wiki/Good_News_from_the_Vatican	Universe 1	https://en.wikipedia.org/wiki/Universe_1
1972	1972	Dozois, Gardner	https://en.wikipedia.org/wiki/Gardner_Dozois	Nominated	"Horse of Air"		Orbit 8	https://en.wikipedia.org/wiki/Orbit_(anthology_series)#Orbit_8
1972	1972	Goldin, Stephen	https://en.wikipedia.org/wiki/Stephen_Goldin	Nominated	The Last Ghost		Protostars (Ballantine Books)	https://en.wikipedia.org/wiki/Protostars
1972	1972	Zebrowski, George	https://en.wikipedia.org/wiki/George_Zebrowski	Nominated	"Heathen God"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1973	1973	Russ, Joanna	https://en.wikipedia.org/wiki/Joanna_Russ	Won	"When It Changed"	https://en.wikipedia.org/wiki/When_It_Changed	Again, Dangerous Visions (Doubleday)	https://en.wikipedia.org/wiki/Again,_Dangerous_Visions
1973	1973	Ellison, Harlan	https://en.wikipedia.org/wiki/Harlan_Ellison	Nominated	"On the Downhill Side"		Universe 2	https://en.wikipedia.org/wiki/Universe_2
1973	1973	Pohl, Frederik	https://en.wikipedia.org/wiki/Frederik_Pohl	Nominated	"Shaffery Among the Immortals"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1973	1973	Silverberg, Robert	https://en.wikipedia.org/wiki/Robert_Silverberg	Nominated	"When We Went to See the End of the World"		Universe 2	https://en.wikipedia.org/wiki/Universe_2
1973	1973	Jr., James Tiptree,	https://en.wikipedia.org/wiki/James_Tiptree,_Jr.	Nominated	"And I Awoke and Found Me Here on the Cold Hill's Side"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1973	1973	Wolfe, Gene	https://en.wikipedia.org/wiki/Gene_Wolfe	Nominated	"Against the Lafayette Escadrille"		Again, Dangerous Visions (Doubleday)	https://en.wikipedia.org/wiki/Again,_Dangerous_Visions
1974	1974	Jr., James Tiptree,	https://en.wikipedia.org/wiki/James_Tiptree,_Jr.	Won	"Love Is the Plan the Plan Is Death"	https://en.wikipedia.org/wiki/Love_Is_the_Plan_the_Plan_Is_Death	The Alien Condition	https://en.wikipedia.org/wiki/Ballantine_Books
1974	1974	Bryant, Edward	https://en.wikipedia.org/wiki/Edward_Bryant	Nominated	"Shark"		Orbit 12	https://en.wikipedia.org/wiki/Orbit_(anthology_series)#Orbit_12
1974	1974	Martin, George R. R.	https://en.wikipedia.org/wiki/George_R._R._Martin	Nominated	"With Morning Comes Mistfall"	https://en.wikipedia.org/wiki/With_Morning_Comes_Mistfall	Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1974	1974	McIntyre, Vonda N.	https://en.wikipedia.org/wiki/Vonda_N._McIntyre	Nominated	"Wings"		The Alien Condition	https://en.wikipedia.org/wiki/Ballantine_Books
1974	1974	Spinrad, Norman	https://en.wikipedia.org/wiki/Norman_Spinrad	Nominated	A Thing of Beauty		Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1974	1974	Wolfe, Gene	https://en.wikipedia.org/wiki/Gene_Wolfe	Nominated	"How I Lost the Second World War and Helped Turn Back the German Invasion"		Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1975	1975	Le Guin, Ursula K.	https://en.wikipedia.org/wiki/Ursula_K._Le_Guin	Won	The Day Before the Revolution	https://en.wikipedia.org/wiki/The_Day_Before_the_Revolution	Galaxy Science Fiction	https://en.wikipedia.org/wiki/Galaxy_Science_Fiction
1975	1975	Farmer, Philip José	https://en.wikipedia.org/wiki/Philip_Jos%C3%A9_Farmer	Nominated	"After King Kong Fell"		Omega (Walker & Co.)	https://en.wikipedia.org/wiki/Bloomsbury_Publishing
1975	1975	Zelazny, Roger	https://en.wikipedia.org/wiki/Roger_Zelazny	Nominated	The Engine at Heartspring's Center		Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1976	1976	Leiber, Fritz	https://en.wikipedia.org/wiki/Fritz_Leiber	Won	"Catch That Zeppelin!"	https://en.wikipedia.org/w/index.php?title=Catch_That_Zeppelin!&action=edit&redlink=1	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1976	1976	Benford, Gregory	https://en.wikipedia.org/wiki/Gregory_Benford	Nominated	"Doing Lennon"		Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1976	1976	Benford, Gregory	https://en.wikipedia.org/wiki/Gregory_Benford	Nominated	"White Creatures"		New Dimensions 5	https://en.wikipedia.org/wiki/Harper_(publisher)
1976	1976	Borges, Jorge Luis	https://en.wikipedia.org/wiki/Jorge_Luis_Borges	Nominated	"Utopia of a Tired Man"		The New Yorker	https://en.wikipedia.org/wiki/The_New_Yorker
1976	1976	Budrys, Algis	https://en.wikipedia.org/wiki/Algis_Budrys	Nominated	A Scraping at the Bones		Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1976	1976	Eisenstein, Phyllis	https://en.wikipedia.org/wiki/Phyllis_Eisenstein	Nominated	"Attachment"		Amazing Stories	https://en.wikipedia.org/wiki/Amazing_Stories
1976	1976	Ellison, Harlan	https://en.wikipedia.org/wiki/Harlan_Ellison	Nominated	"Shatterday"		Gallery
1976	1976	Fisk, Nicholas	https://en.wikipedia.org/wiki/Nicholas_Fisk	Nominated	"Find the Lady"		New Dimensions 5	https://en.wikipedia.org/wiki/Harper_(publisher)
1976	1976	Grant, Charles L.	https://en.wikipedia.org/wiki/Charles_L._Grant	Nominated	"White Wolf Calling"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1976	1976	Lupoff, Richard A.	https://en.wikipedia.org/wiki/Richard_A._Lupoff	Nominated	"Sail the Tide of Mourning"		New Dimensions 5	https://en.wikipedia.org/wiki/Harper_(publisher)
1976	1976	Plauger, P. J.	https://en.wikipedia.org/wiki/P._J._Plauger	Nominated	"Child of All Ages"		Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1976	1976	Pohl, Frederik	https://en.wikipedia.org/wiki/Frederik_Pohl	Nominated	"Growing Up in Edge City"		Epoch (Berkley Books)	https://en.wikipedia.org/wiki/Berkley_Books
1976	1976	Strete, Craig	https://en.wikipedia.org/wiki/Craig_Strete	Nominated	"Time Deer"		If	https://en.wikipedia.org/wiki/If_(magazine)
1977	1977	Grant, Charles L.	https://en.wikipedia.org/wiki/Charles_L._Grant	Won	A Crowd of Shadows	https://en.wikipedia.org/w/index.php?title=A_Crowd_of_Shadows&action=edit&redlink=1	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1977	1977	Haldeman, Joe	https://en.wikipedia.org/wiki/Joe_Haldeman	Nominated	"Tricentennial"		Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1977	1977	Monteleone, Thomas F.	https://en.wikipedia.org/wiki/Thomas_F._Monteleone	Nominated	"Breath's a Ware That Will Not Keep"		Dystopian Visions (Prentice Hall)	https://en.wikipedia.org/wiki/Prentice_Hall
1977	1977	Saunders, Jake	https://en.wikipedia.org/wiki/Jake_Saunders_(writer)	Nominated	"Back to the Stone Age"		Lone Star Universe (Heidelberg Publishers)
1977	1977	Tuttle, Lisa	https://en.wikipedia.org/wiki/Lisa_Tuttle	Nominated	"Stone Circle"		Amazing Stories	https://en.wikipedia.org/wiki/Amazing_Stories
1977	1977	Waldrop, Howard	https://en.wikipedia.org/wiki/Howard_Waldrop	Nominated	"Mary Margaret Road-Grader"		Orbit 18	https://en.wikipedia.org/wiki/Orbit_(anthology_series)#Orbit_18
1978	1978	Ellison, Harlan	https://en.wikipedia.org/wiki/Harlan_Ellison	Won	"Jeffty Is Five"	https://en.wikipedia.org/wiki/Jeffty_Is_Five	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1978	1978	Bailey, Dennis R.		Nominated	"Tin Woodman"		Amazing Stories	https://en.wikipedia.org/wiki/Amazing_Stories
1978	1978	Bischoff, David	https://en.wikipedia.org/wiki/David_Bischoff	Nominated	"Tin Woodman"	https://en.wikipedia.org/wiki/Jeffty_Is_Five	Amazing Stories	https://en.wikipedia.org/wiki/Amazing_Stories
1978	1978	Bryant, Edward	https://en.wikipedia.org/wiki/Edward_Bryant	Nominated	The Hibakusha Gallery		Penthouse	https://en.wikipedia.org/wiki/Penthouse_(magazine)
1978	1978	Monteleone, Thomas F.	https://en.wikipedia.org/wiki/Thomas_F._Monteleone	Nominated	"Camera Obscura"		Cosmos
1978	1978	Varley, John	https://en.wikipedia.org/wiki/John_Varley_(author)	Nominated	"Air Raid"	https://en.wikipedia.org/wiki/Millennium_(novel)	Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1979	1979	Bryant, Edward	https://en.wikipedia.org/wiki/Edward_Bryant	Won	"Stone"	https://en.wikipedia.org/w/index.php?title=Stone_(short_story)&action=edit&redlink=1	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1979	1979	Cherryh, C. J.	https://en.wikipedia.org/wiki/C._J._Cherryh	Nominated	"Cassandra"	https://en.wikipedia.org/wiki/Cassandra_(short_story)	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1979	1979	Dann, Jack	https://en.wikipedia.org/wiki/Jack_Dann	Nominated	A Quiet Revolution for Death		New Dimensions 8	https://en.wikipedia.org/wiki/Harper_(publisher)
1980	1980	Bryant, Edward	https://en.wikipedia.org/wiki/Edward_Bryant	Won	"giANTS"	https://en.wikipedia.org/w/index.php?title=GiANTS&action=edit&redlink=1	Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1980	1980	Bishop, Michael	https://en.wikipedia.org/wiki/Michael_Bishop_(author)	Nominated	"Vernalfest Morning"		Chrysalis 3 (Zebra Books)	https://en.wikipedia.org/wiki/Kensington_Books
1980	1980	Card, Orson Scott	https://en.wikipedia.org/wiki/Orson_Scott_Card	Nominated	"Unaccompanied Sonata"	https://en.wikipedia.org/wiki/Unaccompanied_Sonata	Omni	https://en.wikipedia.org/wiki/Omni_(magazine)
1980	1980	Lee, Tanith	https://en.wikipedia.org/wiki/Tanith_Lee	Nominated	"Red as Blood"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1980	1980	Martin, George R. R.	https://en.wikipedia.org/wiki/George_R._R._Martin	Nominated	The Way of Cross and Dragon	https://en.wikipedia.org/wiki/The_Way_of_Cross_and_Dragon	Omni	https://en.wikipedia.org/wiki/Omni_(magazine)
1980	1980	Russ, Joanna	https://en.wikipedia.org/wiki/Joanna_Russ	Nominated	The Extraordinary Voyages of Amélie Bertrand		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1981	1981	Simak, Clifford D.	https://en.wikipedia.org/wiki/Clifford_D._Simak	Won	"Grotto of the Dancing Deer"	https://en.wikipedia.org/wiki/Grotto_of_the_Dancing_Deer	Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1981	1981	Grant, Charles L.	https://en.wikipedia.org/wiki/Charles_L._Grant	Nominated	"Secrets of the Heart"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1981	1981	Leman, Bob	https://en.wikipedia.org/wiki/Bob_Leman	Nominated	"Window"	https://en.wikipedia.org/wiki/Window_(short_story)	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1981	1981	Wolfe, Gene	https://en.wikipedia.org/wiki/Gene_Wolfe	Nominated	"War Beneath the Tree"		Omni	https://en.wikipedia.org/wiki/Omni_(magazine)
1981	1981	Strete, Craig	https://en.wikipedia.org/wiki/Craig_Strete	Nominated	A Sunday Visit with Great-Grandfather		New Dimensions 11	https://en.wikipedia.org/wiki/Harper_(publisher)
1982	1982	Tuttle, Lisa	https://en.wikipedia.org/wiki/Lisa_Tuttle	Won	The Bone Flute	https://en.wikipedia.org/wiki/The_Bone_Flute	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1982	1982	Dann, Jack	https://en.wikipedia.org/wiki/Jack_Dann	Nominated	"Going Under"		Omni	https://en.wikipedia.org/wiki/Omni_(magazine)
1982	1982	Dozois, Gardner	https://en.wikipedia.org/wiki/Gardner_Dozois	Nominated	"Disciples"		Penthouse	https://en.wikipedia.org/wiki/Penthouse_(magazine)
1982	1982	Gibson, William	https://en.wikipedia.org/wiki/William_Gibson	Nominated	"Johnny Mnemonic"	https://en.wikipedia.org/wiki/Johnny_Mnemonic	Omni	https://en.wikipedia.org/wiki/Omni_(magazine)
1982	1982	Guthridge, George	https://en.wikipedia.org/wiki/George_Guthridge	Nominated	The Quiet		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1982	1982	Robinson, Kim Stanley	https://en.wikipedia.org/wiki/Kim_Stanley_Robinson	Nominated	"Venice Drowned"		Universe 11	https://en.wikipedia.org/wiki/Doubleday_(publisher)
1982	1982	Sullivan, Timothy R.		Nominated	"Zeke"		Twilight Zone	https://en.wikipedia.org/wiki/Twilight_Zone_literature#Magazines
1982	1982	Varley, John	https://en.wikipedia.org/wiki/John_Varley_(author)	Nominated	The Pusher		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1983	1983	Willis, Connie	https://en.wikipedia.org/wiki/Connie_Willis	Won	A Letter from the Clearys	https://en.wikipedia.org/wiki/A_Letter_from_the_Clearys	Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1983	1983	Bear, Greg	https://en.wikipedia.org/wiki/Greg_Bear	Nominated	"Petra"		Omni	https://en.wikipedia.org/wiki/Omni_(magazine)
1983	1983	Haldeman II, Jack C.	https://en.wikipedia.org/wiki/Jack_C._Haldeman_II	Nominated	"High Steel"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
